day,Person 0,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7,Person 8,Person 9,Person 10,Person 11,Person 12,Person 13,Person 14,Person 15,Person 16,Person 17,Person 18,Person 19,Person 20,Person 21,Person 22,Person 23,Person 24,Person 25,Person 26,Person 27,Person 28,Person 29
day 141,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 142,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 143,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 144,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 145,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 146,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 147,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 148,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 149,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 150,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 151,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 152,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 153,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 154,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 155,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 156,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 157,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 158,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 159,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 160,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 161,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
day 162,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 163,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 164,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 165,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 166,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 167,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 168,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 169,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 170,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 171,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 172,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 173,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 174,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 175,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 176,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 177,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 178,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 179,True,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 180,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 181,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 182,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 183,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 184,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 185,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 186,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 187,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 188,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 189,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 190,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 191,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 192,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 193,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 194,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 195,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 196,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 197,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 198,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 199,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 200,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 201,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 202,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 203,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 204,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 205,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 206,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 207,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
day 208,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
